2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
2,XXX-Datafile1,filelink,v01.00,filelink2,v01.02
3,XXX-Datafile2,filelink2,v12.00,filelinka,v01.04

